batch_norm,batch_size,bits,builtin_profiler,data_dir,dataset,dtype,epochs,gpus,kvstore,log_interval,lr,lr_factor,lr_steps,mode,model,momentum,num_workers,optimizer,prefix,profile,resume,save_frequency,seed,start_epoch,use_pretrained,use_thumbnail,wd,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,56,,.,0.832232,0.992688,0.887099,0.997155,0.832232,0.992688,0.887099,0.997155
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,57,,.,0.850160,0.993089,0.884395,0.997236,0.850160,0.993089,0.884395,0.997236
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,58,,.,0.815505,0.989383,0.883510,0.996951,0.815505,0.989383,0.883510,0.996951
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,59,,.,0.854367,0.993289,0.887821,0.997496,0.854367,0.993289,0.887821,0.997496
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,60,,.,0.841747,0.993289,0.887700,0.997616,0.841747,0.993289,0.887700,0.997616
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,61,,.,0.840044,0.992188,0.888652,0.997409,0.840044,0.992188,0.888652,0.997409
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,62,,.,0.846354,0.994391,0.888722,0.997656,0.846354,0.994391,0.888722,0.997656
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,63,,.,0.840645,0.992388,0.890525,0.997496,0.840645,0.992388,0.890525,0.997496
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,64,,.,0.833734,0.991587,0.888682,0.997696,0.833734,0.991587,0.888682,0.997696
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,65,,.,0.847754,0.993164,0.891721,0.997588,0.847754,0.993164,0.891721,0.997588
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,66,,.,0.844952,0.994091,0.892248,0.997596,0.844952,0.994091,0.892248,0.997596
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,67,,.,0.830028,0.991086,0.892007,0.997436,0.830028,0.991086,0.892007,0.997436
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,68,,.,0.838241,0.989984,0.895528,0.997828,0.838241,0.989984,0.895528,0.997828
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,69,,.,0.849058,0.991987,0.896494,0.997676,0.849058,0.991987,0.896494,0.997676
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,70,,.,0.843950,0.992488,0.895913,0.997857,0.843950,0.992488,0.895913,0.997857
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,71,,.,0.852063,0.993189,0.896265,0.998047,0.852063,0.993189,0.896265,0.998047
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,72,,.,0.845453,0.992488,0.896775,0.997937,0.845453,0.992488,0.896775,0.997937
